#SampleID	LinkerPrimerSequence	BarcodeSequence	Name	SampleType	GPS	Population	Captive	Warren	Date Collected	Sex	Extraction Kit	Date Extracted	Lot No.	Associated EBC	Description
Ksoil	NA	NA	Ksoil	Soil	"54H 0370111, 6177450"	Kooloola	No	-	3/03/2019	N	Qiagen DNeasy Powersoil	7/06/2019	1600-27051	EBC3	NA
K1A	NA	NA	K1A	Faecal	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	U	Qiagen DNeasy Powersoil	28/05/2019	1600-27051	EBC1	NA
K1B	NA	NA	K1B	Faecal	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	U	Qiagen DNeasy Powersoil	28/05/2019	1600-27051	EBC1	NA
K2	NA	NA	K2	Faecal	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	U	Qiagen DNeasy Powersoil	28/05/2019	1600-27051	EBC1	NA
K3	NA	NA	K3	Faecal	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	U	Qiagen DNeasy Powersoil	30/05/2019	1600-27051	EBC2	NA
K4	NA	NA	K4	Faecal	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	U	Qiagen DNeasy Powersoil	7/06/2019	1600-27051	EBC3	NA
K5	NA	NA	K5	Faecal	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
K6	NA	NA	K6	Faecal	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
K7	NA	NA	K7	Faecal	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	U	Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
K8	NA	NA	K8	Faecal	"54H 0370111, 6177450"	Kooloola	No	Kd	3/03/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
K9	NA	NA	K9	Faecal	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
K10	NA	NA	K10	Faecal	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	U	Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
K11	NA	NA	K11	Faecal	"54H 0370071, 6177704"	Kooloola	No	Kf	3/03/2019	U	Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
K12	NA	NA	K12	Faecal	"54H 0369664, 6178278"	Kooloola	No	Kg	3/03/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
K13	NA	NA	K13	Faecal	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
K14	NA	NA	K14	Faecal	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	U	Qiagen DNeasy Powersoil	12/07/2019	1600-54007	EBC8	NA
K15	NA	NA	K15	Faecal	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
K16	NA	NA	K16	Faecal	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
K17	NA	NA	K17	Faecal	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	U	Qiagen DNeasy Powersoil	12/07/2019	1600-54007	EBC8	NA
K18	NA	NA	K18	Faecal	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	U	Qiagen DNeasy Powersoil	12/07/2019	1600-54007	EBC8	NA
K19	NA	NA	K19	Faecal	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
K20	NA	NA	K20	Faecal	"54H 0369911, 6176955"	Kooloola	No	Kl	3/03/2019	U	Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
Bsoil	NA	NA	Bsoil	Soil	-	Brookfield	No	-	4/03/2019	N	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
B1	NA	NA	B1	Faecal	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	U	Qiagen DNeasy Powersoil	30/05/2019	1600-27051	EBC2	NA
B2	NA	NA	B2	Faecal	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	U	Qiagen DNeasy Powersoil	7/06/2019	1600-27051	EBC3	NA
B3	NA	NA	B3	Faecal	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
B4	NA	NA	B4	Faecal	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	U	Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
B5	NA	NA	B5	Faecal	"54H 0361785, 6197456"	Brookfield	No	Bb	4/03/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
B6	NA	NA	B6	Faecal	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	U	Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
B7	NA	NA	B7	Faecal	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
B8	NA	NA	B8	Faecal	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	U	Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
B9	NA	NA	B9	Faecal	"54H 0362258, 6197643"	Brookfield	No	Bd	4/03/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
B10	NA	NA	B10	Faecal	"54H 0363448, 6197391"	Brookfield	No	Be	4/03/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
B11	NA	NA	B11	Faecal	"54H 0363448, 6197391"	Brookfield	No	Be	4/03/2019	U	Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
B12	NA	NA	B12	Faecal	"54H 0363448, 6197391"	Brookfield	No	Be	4/03/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
B13	NA	NA	B13	Faecal	"54H 0363448, 6197391"	Brookfield	No	Be	4/03/2019	U	Qiagen DNeasy Powersoil	12/07/2019	1600-54007	EBC8	NA
B14	NA	NA	B14	Faecal	"54H 0363789, 6197444"	Brookfield	No	Bf	4/03/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
B15	NA	NA	B15	Faecal	"54H 0363789, 6197444"	Brookfield	No	Bf	4/03/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
B16	NA	NA	B16	Faecal	"54H 0363752, 6197388"	Brookfield	No	Bg	4/03/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
B17	NA	NA	B17	Faecal	"54H 0364319, 6197085"	Brookfield	No	Bh	4/03/2019	U	Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
M1a	NA	NA	M1a	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
M1b	NA	NA	M1b	Faecal	-	Captive	Yes	Cb	18/05/2019		Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
M1c	NA	NA	M1c	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
M2	NA	NA	M2	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
M3a	NA	NA	M3a	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
M3b	NA	NA	M3b	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
M4a	NA	NA	M4a	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
M4b	NA	NA	M4b	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
M5	NA	NA	M5	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
M6	NA	NA	M6	Faecal	-	Captive	Yes	Cb	13/05/2019		Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
