id	GPS	Population	Captive	Warren	Date Collected	Date Extracted	Lot No.	Associated EBC	Notes	faith_pd
K1A	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	"Small C2 pellet, Spin columns from 1600-50599"	205.8975326
K1B	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	Spin columns from 1600-50599	201.6026255
K2	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	"Large C2 pellet, Spin columns from 1600-50599"	194.1444916
K3	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	30/05/2019	1600-27051	EBC2	Spin columns from 1600-54007	200.7728839
K4	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	7/06/2019	1600-27051	EBC3	Spin columns & PowerBead Tubes from 1600-54007	207.8639265
K5	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	183.5560527
K6	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	211.6339211
K7	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	207.8876291
K8	"54H 0370111, 6177450"	Kooloola	No	Kd	3/03/2019	18/07/2019	1600-54007	EBC9		186.4136503
K9	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	18/07/2019	1600-54007	EBC9		210.4650242
K10	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	195.0305873
K11	"54H 0370071, 6177704"	Kooloola	No	Kf	3/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	207.7055095
K12	"54H 0369664, 6178278"	Kooloola	No	Kg	3/03/2019	11/07/2019	1600-54007	EBC7		212.5317673
K13	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	11/07/2019	1600-54007	EBC7		185.0079247
K14	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	187.2287715
K16	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	11/07/2019	1600-54007	EBC7		191.2948971
K17	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	176.4779482
K18	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	215.6671605
K19	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	25/07/2019		EBC 11		188.229315
K20	"54H 0369911, 6176955"	Kooloola	No	Kl	3/03/2019	26/07/2019		EBC12		227.6073148
B1	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	30/05/2019	1600-27051	EBC2	"Darker EtOH Supernatant, Spin columns from 1600-54007"	205.6821127
B2	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	7/06/2019	1600-27051	EBC3	Spin columns & PowerBead Tubes from 1600-54007	212.1898077
B3	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	220.7591606
B4	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	214.8240795
B5	"54H 0361785, 6197456"	Brookfield	No	Bb	4/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	199.0196373
B6	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	212.2079337
B7	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	18/07/2019	1600-54007	EBC9		193.2891692
B8	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	213.1022584
B9	"54H 0362258, 6197643"	Brookfield	No	Bd	4/03/2019	18/07/2019	1600-54007	EBC9		181.8694579
M1a	-	Captive	Yes	Cb	13/05/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051, red supernatant through C3"	166.6528804
M2	-	Captive	Yes	Cb	13/05/2019	18/07/2019	1600-54007	EBC9		182.9733428
M3a	-	Captive	Yes	Cb	13/05/2019	18/07/2019	1600-54007	EBC9		181.1462512
M4a	-	Captive	Yes	Cb	13/05/2019	24/07/2019		EBC10		154.4354791
M5	-	Captive	Yes	Cb	13/05/2019	24/07/2019		EBC10		156.4761589
M7a	-	Captive	Yes	Cb	21/05/2019	11/07/2019	1600-54007	EBC7		191.4782656
M8	-	Captive	Yes	Cb	1/06/2019	11/07/2019	1600-54007	EBC7	Hard pellets	172.4048734
M9a	-	Captive	Yes	Cb	21/05/2019	11/07/2019	1600-54007	EBC7		177.041207
M10a	-	Captive	Yes	Cb	28/05/2019	11/07/2019	1600-54007	EBC7		129.0352722
M11	-	Captive	Yes	Cb	1/06/2019	24/07/2019		EBC10	Hard pellets	180.8630107
M12	-	Captive	Yes	Cb	5/06/2019	25/07/2019		EBC 11		152.8941946
M13	-	Captive	Yes	Cb	20/05/2019	25/07/2019		EBC 11		168.2362746
