id	GPS	Population	Captive	Warren	Date Collected	Date Extracted	Lot No.	Associated EBC	Notes	observed_otus
K1A	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	"Small C2 pellet, Spin columns from 1600-50599"	895
K1B	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	Spin columns from 1600-50599	851
K2	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	28/05/2019	1600-27051	EBC1	"Large C2 pellet, Spin columns from 1600-50599"	830
K3	"54H 0370713, 6177166"	Kooloola	No	Ka	3/03/2019	30/05/2019	1600-27051	EBC2	Spin columns from 1600-54007	844
K4	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	7/06/2019	1600-27051	EBC3	Spin columns & PowerBead Tubes from 1600-54007	887
K5	"54H 0370309, 6177201"	Kooloola	No	Kb	3/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	740
K6	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	885
K7	"54H 0370175, 6177340"	Kooloola	No	Kc	3/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	891
K8	"54H 0370111, 6177450"	Kooloola	No	Kd	3/03/2019	18/07/2019	1600-54007	EBC9		797
K9	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	18/07/2019	1600-54007	EBC9		920
K10	"54H 0370156, 6177479"	Kooloola	No	Ke	3/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	872
K11	"54H 0370071, 6177704"	Kooloola	No	Kf	3/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	877
K12	"54H 0369664, 6178278"	Kooloola	No	Kg	3/03/2019	11/07/2019	1600-54007	EBC7		940
K13	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	11/07/2019	1600-54007	EBC7		749
K14	"54H 0369626, 6178034"	Kooloola	No	Kh	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	742
K16	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	11/07/2019	1600-54007	EBC7		765
K17	"54H 0369606, 6177989"	Kooloola	No	Ki	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	712
K18	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	12/07/2019	1600-54007	EBC8	Sample frozen at step 28.1 over weekend	912
K19	"54H 0369715, 6177703"	Kooloola	No	Kj	3/03/2019	25/07/2019		EBC 11		807
K20	"54H 0369911, 6176955"	Kooloola	No	Kl	3/03/2019	26/07/2019		EBC12		1044
B1	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	30/05/2019	1600-27051	EBC2	"Darker EtOH Supernatant, Spin columns from 1600-54007"	910
B2	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	7/06/2019	1600-27051	EBC3	Spin columns & PowerBead Tubes from 1600-54007	948
B3	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	980
B4	"54H 0361354, 6197023"	Brookfield	No	Ba	4/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	937
B5	"54H 0361785, 6197456"	Brookfield	No	Bb	4/03/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	839
B6	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	896
B7	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	18/07/2019	1600-54007	EBC9		802
B8	"54H 0361845, 6197400"	Brookfield	No	Bc	4/03/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	913
B9	"54H 0362258, 6197643"	Brookfield	No	Bd	4/03/2019	18/07/2019	1600-54007	EBC9		767
M1a	-	Captive	Yes	Cb	13/05/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051, red supernatant through C3"	730
M2	-	Captive	Yes	Cb	13/05/2019	18/07/2019	1600-54007	EBC9		839
M3a	-	Captive	Yes	Cb	13/05/2019	18/07/2019	1600-54007	EBC9		836
M4a	-	Captive	Yes	Cb	13/05/2019	24/07/2019		EBC10		743
M5	-	Captive	Yes	Cb	13/05/2019	24/07/2019		EBC10		678
M7a	-	Captive	Yes	Cb	21/05/2019	11/07/2019	1600-54007	EBC7		934
M8	-	Captive	Yes	Cb	1/06/2019	11/07/2019	1600-54007	EBC7	Hard pellets	842
M9a	-	Captive	Yes	Cb	21/05/2019	11/07/2019	1600-54007	EBC7		814
M10a	-	Captive	Yes	Cb	28/05/2019	11/07/2019	1600-54007	EBC7		463
M11	-	Captive	Yes	Cb	1/06/2019	24/07/2019		EBC10	Hard pellets	846
M12	-	Captive	Yes	Cb	5/06/2019	25/07/2019		EBC 11		674
M13	-	Captive	Yes	Cb	20/05/2019	25/07/2019		EBC 11		753
W1	"54H 0354066, 6248909"	Wonga	No	Wa	19/06/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	834
W2	"54H 0354066, 6248909"	Wonga	No	Wa	19/06/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	924
W3	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	28/06/2019	1630-11363	EBC4	"C3, C4, C5, C6 from 1600-27051"	817
W4	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	18/07/2019	1600-54007	EBC9		779
W5	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	5/07/2019	1630-11363	EBC6	C1 from 1600-54007	844
W6	"54H 0353762, 6247895"	Wonga	No	Wc	19/06/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	847
W7	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	18/07/2019	1600-54007	EBC9		667
W8	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	11/07/2019	1600-54007	EBC7		772
W9	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	24/07/2019		EBC10		818
W10	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	11/07/2019	1600-54007	EBC7		822
W11	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	25/07/2019		EBC 11		782
W12	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	26/07/2019		EBC12		825
W13	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	11/07/2019	1600-54007	EBC7		966
W14	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	25/07/2019		EBC 11		961
W18	"54H 0352805, 6245217"	Wonga	No	Wg	20/06/2019	25/07/2019		EBC 11		791
W16	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	24/07/2019		EBC10		706
W17	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	25/07/2019		EBC 11		819
W19	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	24/07/2019		EBC10		892
W20	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	25/07/2019		EBC 11		833
W21	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	24/07/2019		EBC10		780
W22	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	26/07/2019		EBC12		814
W23	"54H 0352404, 6248911"	Wonga	No	Wk	20/06/2019	26/07/2019		EBC12		722
